COUNTYGEOID,C01,C02,C03,C04,C05
01089,-49197.510366478535,-33398.58760759006,-10725.971402697402,-40173.67163497019,32838.24405351181
01091,-42078.564311515285,-34985.4324938934,13965.695961939933,99383.58417136648,-182949.66055849488
01093,-48776.46624039053,-34067.50770589354,-6764.256812973617,-25691.267009333664,41851.65838679624
01095,-49236.97681030342,-33998.78448851018,-10606.652334220953,-38451.97251258825,33499.75269681384
01097,22583.375402232297,-15823.99156806355,184333.64525600002,128092.55895860017,-121099.32966827972
01099,-27705.620971501976,-37359.753535927506,63119.43139409098,377778.15998079546,-614775.9981767032
01101,-49249.76684356663,-33997.53532861901,-10768.682330492775,-40210.76352231216,33023.46881316037
01103,1493789.851472573,-95332.07265023766,-1040489.0946570624,918980.9755868736,-846559.7739399548
01105,-49249.02213562257,-33998.07075686388,-10758.281243687157,-40097.30010581353,33054.93275804322
01107,-49132.21785025758,-34016.24965190966,-10362.230967177868,-37918.77088077314,29469.461768496327
01109,-49249.82885747595,-33997.72595543206,-10768.870974917278,-40211.70004707951,33023.0518912893
01111,-49249.843153702874,-33997.76984977189,-10768.816872559133,-40211.62961444582,33023.0746668691
01113,-10465.884697170823,-39919.900457616466,111196.76026770627,671236.710516245,-1066828.7375721196
01115,-48116.36213091207,-34141.26596760376,-899.4871721669456,22648.400670791947,73560.02733625489
01117,-41690.24494542693,48965.448629261075,-5816.495791364888,-35924.10900339718,12249.90247785296
01119,316855.24082305556,851115.6049696459,321336.9864090378,-85214.22556702117,28361.45231189464
01121,-38988.954857947494,-35599.75043606567,24650.506737642507,159815.31215179185,-276311.7524301803
01123,-49248.80454777604,-33998.018923257536,-10761.099654152646,-40132.139482092156,33046.53407972425
01125,-48084.24483837458,-34118.315990755305,-9363.508487597848,-39514.995446892106,33575.23669059018
01127,-43973.35611978301,26443.720500622392,-6420.737718796013,-36334.533133284356,14340.697147229477
01129,-45403.49980025831,-33484.31217940185,-15189.66689614849,-29027.45960150744,37630.49528716096
01131,-23996.983902919947,-37962.46070559377,76516.53893996376,452023.6152417413,-729791.943667498
01133,-49249.61769744798,-33997.908513834554,-10767.195598144826,-40193.74218959082,33019.348449543286
05001,-49141.87307222145,-33997.80488162407,-10701.435278065132,-32731.189669573763,6697.2782024982425
05003,-28377.869713566783,-37265.25638032627,60892.674062841426,364980.2723795246,-594309.6839820953
05005,-48381.46778005447,-34130.56738569159,-3638.679054564283,-33469.561095302146,35338.074031297896
05007,-49249.29258446245,-33991.29213405977,-10768.382851570015,-40210.71066207224,33022.9280777892
05009,-49249.85386522639,-33997.772442561036,-10768.837446023017,-40211.761161073686,33023.00764050314
05011,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
