component,eigenvalue
389,8.404899415846735e-07
390,7.851424720307114e-07
391,7.010309182029654e-07
392,6.828449268726652e-07
393,5.976975524344654e-07
394,4.2316438572021566e-07
395,4.1270916539265354e-07
396,2.972794274809404e-07
397,2.667880604187907e-07
398,2.3405941479919608e-07
399,2.1875309766321852e-07
400,1.7961972163489978e-07
401,1.6513346636759763e-07
402,1.422560239842614e-07
403,1.2573935458825332e-07
404,1.2054732626129528e-07
405,1.1737240205250042e-07
406,9.806802535211801e-08
407,8.373280603701495e-08
408,6.604327805790244e-08
409,5.934451127739394e-08
410,5.7732226616483936e-08
411,5.638612115587891e-08
412,4.288431573762557e-08
413,3.345039858744501e-08
414,3.297167896482691e-08
415,2.0123462282291656e-08
416,1.909866386003397e-08
417,1.759405136651082e-08
418,1.532993425756767e-08
419,1.4690976552806864e-08
420,1.394667876569828e-08
421,1.2200090576562452e-08
422,1.1584050162127545e-08
423,1.0160319287078167e-08
424,9.772435857860607e-09
425,9.68802963705765e-09
426,7.347026655500652e-09
427,7.161609233797916e-09
428,6.616162324382289e-09
429,6.098395833856317e-09
430,5.407584853605992e-09
431,5.140781894424254e-09
432,4.39176911669872e-09
433,4.211603898364946e-09
434,4.18476535282311e-09
435,3.750666559998563e-09
436,1.7303634178136603e-09
437,1.5694035975136197e-09
438,1.4561076267848081e-09
439,1.250992326493993e-09
440,1.1267154149032897e-09
441,9.417645039245082e-10
442,8.016372733230771e-10
443,7.007049838643644e-10
444,5.811000316692702e-10
