components,explain,discrete
239,0.9999999861470391,6.169684164678876e-10
240,0.9999999867227741,5.7573499329087e-10
241,0.9999999872934074,5.70633373011321e-10
242,0.9999999878572171,5.638096162750325e-10
243,0.9999999884199826,5.627655111497987e-10
244,0.9999999889630404,5.430578684663043e-10
245,0.9999999894838278,5.207874143384198e-10
246,0.99999998997545,4.916221495328287e-10
247,0.9999999904471594,4.717093516729618e-10
248,0.9999999909096585,4.6249910577941067e-10
249,0.9999999913449039,4.352453813411952e-10
250,0.9999999917694627,4.2455884714348765e-10
251,0.9999999921856877,4.16224953760713e-10
252,0.9999999925923452,4.066574377736338e-10
253,0.9999999929770644,3.8471929232515107e-10
254,0.9999999933534345,3.7637009421325603e-10
255,0.9999999937163878,3.6295329782664244e-10
256,0.9999999940778236,3.6143576170344496e-10
257,0.9999999943916594,3.138358965945453e-10
258,0.9999999946946025,3.029430913063073e-10
259,0.9999999949879078,2.933052401966943e-10
260,0.9999999952530634,2.6515554890153674e-10
261,0.9999999955093231,2.562597309001163e-10
262,0.9999999957496037,2.4028069740700626e-10
263,0.9999999959636912,2.140873656537049e-10
264,0.9999999961616516,1.979603750778366e-10
265,0.9999999963581276,1.9647603735763248e-10
266,0.999999996545988,1.878604284311473e-10
267,0.999999996728484,1.824960622400811e-10
268,0.9999999969042217,1.7573763462176186e-10
269,0.9999999970672864,1.630647228729874e-10
270,0.999999997220616,1.533296335856611e-10
271,0.9999999973674962,1.4688014280444763e-10
272,0.9999999975100831,1.4258681510948537e-10
273,0.999999997650944,1.4086101637037266e-10
274,0.9999999977844152,1.3347106948199212e-10
275,0.9999999979140033,1.2958816827416035e-10
276,0.9999999980360302,1.2202697025242992e-10
277,0.9999999981513074,1.1527716454171775e-10
278,0.999999998263658,1.1235062915908724e-10
279,0.9999999983700222,1.063641887476949e-10
280,0.9999999984717883,1.017661266770036e-10
281,0.9999999985598258,8.803744727603612e-11
282,0.9999999986440263,8.420052590575616e-11
283,0.9999999987216268,7.760046322304332e-11
284,0.9999999987937012,7.207438349777559e-11
285,0.9999999988635383,6.983717940122256e-11
286,0.9999999989293543,6.581604588464791e-11
287,0.9999999989931392,6.378487683246565e-11
288,0.9999999990544115,6.127231904425542e-11
289,0.9999999991121918,5.778035301350545e-11
290,0.9999999991653354,5.314363843508224e-11
291,0.9999999992162685,5.09330177772591e-11
292,0.9999999992644562,4.8187629954525215e-11
293,0.9999999993085262,4.407004753811618e-11
294,0.999999999349246,4.0719743307390044e-11
295,0.9999999993861407,3.68947274300655e-11
296,0.9999999994219072,3.5766503001586455e-11
297,0.9999999994527494,3.0842169237045825e-11
298,0.9999999994829669,3.021745746362491e-11
299,0.9999999995116049,2.8637977376208014e-11
300,0.9999999995398833,2.827839026861244e-11
301,0.9999999995660533,2.617006010609028e-11
302,0.9999999995909029,2.4849520647929693e-11
303,0.9999999996151687,2.4265774828409797e-11
304,0.9999999996383786,2.3209917128525792e-11
305,0.9999999996607308,2.235220899228212e-11
306,0.9999999996791877,1.8456866720395897e-11
307,0.9999999996974774,1.8289716864545734e-11
308,0.9999999997140315,1.6554042960805198e-11
309,0.9999999997302849,1.6253306626658485e-11
310,0.9999999997463578,1.6072912253134037e-11
311,0.999999999761863,1.5505305485100126e-11
312,0.9999999997771553,1.529220765230746e-11
313,0.9999999997917418,1.4586599124732244e-11
314,0.9999999998049143,1.3172410390758915e-11
315,0.9999999998174873,1.2573096925667743e-11
316,0.9999999998294176,1.1930260793731685e-11
317,0.9999999998410757,1.1658068103977598e-11
318,0.9999999998525141,1.1438366428477908e-11
319,0.999999999862879,1.0364946924662386e-11
320,0.9999999998731588,1.0279792471331182e-11
321,0.9999999998826121,9.453289702787753e-12
322,0.9999999998912005,8.588334542855014e-12
323,0.9999999998997134,8.512934886422287e-12
324,0.9999999999074498,7.736421403051016e-12
325,0.9999999999146857,7.2358714479480755e-12
326,0.9999999999215253,6.839625234429474e-12
327,0.9999999999271378,5.612495973660664e-12
328,0.9999999999316783,4.540521968822703e-12
329,0.9999999999358348,4.15641934032889e-12
330,0.9999999999398348,4.000001058977943e-12
331,0.9999999999431111,3.276226743039238e-12
332,0.9999999999458753,2.764274747253943e-12
333,0.9999999999484347,2.5593870487154434e-12
334,0.9999999999509485,2.513785767701712e-12
335,0.999999999953392,2.443493579557118e-12
336,0.9999999999557747,2.3827846088228606e-12
337,0.9999999999580782,2.3034544080892177e-12
338,0.9999999999602764,2.1982195135404902e-12
339,0.9999999999624645,2.188028423158659e-12
340,0.9999999999644837,2.0192758884027678e-12
341,0.9999999999663992,1.915508608558253e-12
342,0.9999999999682637,1.86454943603441e-12
343,0.9999999999700844,1.8206684018417605e-12
344,0.999999999971829,1.7445513158567044e-12
345,0.9999999999735282,1.6991670173906876e-12
346,0.9999999999751474,1.6193038160001293e-12
