COUNTYGEOID,C01,C02,C03,C04,C05,C06
01021,-0.1254271808597808,-0.12126116860989937,-0.08976155029994462,-0.0416763383981657,-0.045278410666311414,-0.02286867185603294
01023,-0.17519600134527186,-0.0003739215860786243,-0.16785152559007754,-0.2989765914253359,0.8809691849335847,0.0960600164455522
01025,-0.18289723670308292,0.04151336617352015,-0.15865252780999764,-0.2955751071321399,0.8754880711317069,0.0958786511970286
01027,-0.14820523537395888,-0.12205614466468466,-0.24524095730273507,0.8005541242804157,0.05909609450288474,0.3541750320478054
01029,-0.12542718085978083,-0.12126116860989934,-0.08976155029994462,-0.04167633839816569,-0.045278410666311414,-0.022868671856032943
01031,-0.2396633075594872,-0.3487649920417911,0.8592847449575395,0.0571595818776408,0.058011589545243825,0.014759118084917732
01033,-0.12518003269491543,-0.11725327883056247,-0.09491262172201599,-0.03684553189459782,-0.025791101117166048,-0.017121595438581785
01035,-0.3053558340723622,0.8393633503535052,0.10862184617959882,0.004212053083660781,-0.05770017724269769,-0.01266438571373099
01037,-0.12542718085978083,-0.12126116860989937,-0.0897615502999446,-0.04167633839816569,-0.045278410666311386,-0.022868671856032943
01039,-0.30536639916567526,0.8393423040902015,0.10870962398181368,0.0042211943631713465,-0.05769062374954343,-0.012660905509205506
01041,-0.12542718085978083,-0.12126116860989937,-0.08976155029994462,-0.04167633839816568,-0.045278410666311386,-0.02286867185603294
01043,0.850522377896314,0.02866045370812239,0.05016272624145526,-0.02241572148111563,-0.009426369623174613,-0.008841115246946224
01045,-0.2882051763700899,0.7413702800567993,0.08740558229743593,-0.0022593307491389,-0.051322373469624843,-0.01381116382425822
01047,-0.18800877946058864,0.06946848697740972,-0.15238727643381894,-0.29301236614679615,0.8708037810007258,0.0956278071725265
01049,-0.12542718085978083,-0.12126116860989937,-0.08976155029994462,-0.04167633839816568,-0.045278410666311386,-0.022868671856032936
01051,-0.12542718085978083,-0.12126116860989937,-0.08976155029994462,-0.04167633839816568,-0.045278410666311386,-0.022868671856032936
01053,-0.19203513792204163,0.09150079865793381,-0.14742920244863536,-0.2908451375542272,0.8664836795959386,0.09534688902884485
01055,0.8372140322959528,0.08861637854118676,0.06205432363911133,-0.02168582510142524,-0.006641748701955685,-0.007757521925491233
01057,-0.1254271808597808,-0.1212611686098993,-0.08976155029994462,-0.04167633839816568,-0.0452784106663114,-0.022868671856032946
01059,0.8310439211561368,0.02534250495364105,0.04497347177674699,-0.011116667874709506,-0.007446107543320673,-0.008755975465214743
01061,-0.1254271808597808,-0.1212611686098993,-0.08976155029994462,-0.04167633839816569,-0.04527841066631141,-0.022868671856032946
01063,-0.1254271808597808,-0.1212611686098993,-0.08976155029994462,-0.04167633839816569,-0.04527841066631141,-0.022868671856032946
01065,-0.1254271808597808,-0.1212611686098993,-0.08976155029994462,-0.04167633839816569,-0.04527841066631141,-0.022868671856032943
01067,-0.1254271808597808,-0.12126116860989933,-0.08976155029994462,-0.04167633839816568,-0.04527841066631141,-0.022868671856032943
01069,0.850542745130399,0.028638022287065308,0.050310081377572945,-0.023432383460169053,-0.009661294455115198,-0.008860836294014695
01071,0.8340913778462679,0.08317818620015409,0.05726151613581099,-0.027592816221879958,-0.020205188066992653,-0.044237778864150964
01073,-0.11747730641591084,0.848731176438883,0.1293085952990128,0.012034389137280692,-0.05134453854455748,-0.020622963915125393
01075,0.8505332066683386,0.02860978154011421,0.05028681655281165,-0.023447015449411378,-0.009682247223663442,-0.008865923061934997
01077,0.8505460292588021,0.028620489484104086,0.050306460608509275,-0.023433220988606052,-0.009661067733444677,-0.008861022535098503
01079,-0.1890276264741311,0.0750687391528302,-0.1511352699696135,-0.2924722649063792,0.8697642466332294,0.09556434335874892
01081,0.8393100726713484,0.08066092075790496,0.060901139431724316,-0.020962691177681944,-0.010388700765639877,-0.008326241037001948
01083,-0.23966330755948723,-0.3487649920417911,0.8592847449575397,0.05715958187764083,0.05801158954524389,0.014759118084917743
01085,-0.3054795415795144,0.8391192881629745,0.10964778072645344,0.004325558352260559,-0.057563434408133884,-0.012616275591724149
01087,-0.1254271808597808,-0.1212611686098993,-0.08976155029994462,-0.04167633839816568,-0.04527841066631141,-0.022868671856032943
01089,0.8505391633855177,0.02860619615294711,0.05031138346373904,-0.02320822906113244,-0.009606670679005152,-0.008855768546281473
01091,-0.2140183550521533,0.2189469724028783,-0.11723958487020429,-0.27515621964008463,0.8311431917317541,0.09243810146367241
01093,-0.1107061566563488,-0.14231072175074364,-0.1523736749110087,-0.08899678424701725,-0.2679277035435588,0.8251686647423174
01095,-0.2207398285355256,0.2783049647658542,-0.06291293948421328,-0.06453462265825317,-0.25184004370244006,0.7430364423354285
01097,-0.13588906692134414,-0.057833935128834835,-0.1792949832321915,-0.3028662790158793,0.8709485405023673,0.0706698275189132
01099,-0.22826501455757325,0.2933347680450738,-0.09912584160529347,-0.2633378849608239,0.7995877905037925,0.0892616619467111
01101,0.8503770409086361,0.029362358763967603,0.050432045756140506,-0.02342105887864627,-0.009708362647151428,-0.008861553663428109
01103,0.5678914212321912,0.08818353245068494,0.01324549324570989,0.033171749620268184,0.041861439195944684,-0.01511372450442654
01105,-0.12542718085978077,-0.1212611686098993,-0.0897615502999446,-0.04167633839816568,-0.04527841066631141,-0.022868671856032943
01107,-0.12542718085978077,-0.12126116860989933,-0.0897615502999446,-0.04167633839816568,-0.0452784106663114,-0.02286867185603293
01109,-0.12542718085978077,-0.12126116860989933,-0.0897615502999446,-0.041676338398165674,-0.0452784106663114,-0.022868671856032936
01111,-0.12542718085978077,-0.12126116860989933,-0.0897615502999446,-0.041676338398165674,-0.0452784106663114,-0.022868671856032936
01113,-0.30539782372033114,0.8392988390535734,0.108461490147777,0.004098182780219936,-0.0582312807534892,-0.010653318500516405
01115,-0.2396633075594873,-0.3487649920417914,0.8592847449575404,0.05715958187764091,0.058011589545243866,0.014759118084917635
01117,-0.16276265717923513,-0.11570500966956547,-0.20555527053475314,-0.3132997596738016,0.660906069046322,-0.20418900498916345
01119,-0.16617642073668495,-0.056080726622263925,-0.13173720122547786,-0.1347173589764791,-0.18611153169032527,-0.5258098413903249
01121,-0.20159577964549885,0.13480618867312047,-0.1422509466785728,-0.28686323944598296,0.8355194993044452,0.16184754957073133
01123,-0.30535583407236194,0.8393633503535048,0.10862184617959894,0.004212053083660693,-0.05770017724269774,-0.012664385713731111
01125,0.48297161475406314,-0.04084518981547815,-0.11484652340275162,0.7071007863252179,0.1476546165649022,0.00218838778150058
01127,-0.14806935462608012,-0.15237559214233137,-0.15132130855375717,-0.13937290872186126,-0.1834840977685852,-0.537318359818229
01129,-0.12337730536552488,-0.11506672017832606,-0.10094424140793487,-0.027170150410997657,-0.04782505988368665,-0.025878873573729665
01131,-0.30535583407236183,0.8393633503535047,0.10862184617959889,0.004212053083660652,-0.05770017724269783,-0.012664385713731147
01133,-0.1433467707109237,-0.14732532432932102,-0.15714543556484206,-0.08963888676066506,-0.2692494749085646,0.8251725483387009
05001,-0.1254271808597808,-0.1212611686098993,-0.08976155029994462,-0.04167633839816569,-0.0452784106663114,-0.022868671856032946
05003,-0.21801350496610278,0.23653619986605676,-0.11301146343712105,-0.27256202853042927,0.8246600704825382,0.09182517589550714
05005,-0.13813115844893606,-0.14652402214333962,-0.15639598509136945,-0.0895407153041407,-0.269055946904582,0.8252352934340037
05007,-0.12615593715033213,-0.12279726573682619,-0.08936971833289092,-0.043821184953871155,-0.04800927818792367,-0.024369348626156515
05009,0.8504672170112041,0.028463957513506825,0.050959262355659715,-0.023365237539507904,-0.009590024499366879,-0.008835142249969518
05011,-0.1254271808597808,-0.1212611686098993,-0.08976155029994462,-0.04167633839816568,-0.0452784106663114,-0.02286867185603294
05013,-0.3062765869032741,0.8374862539331865,0.11631389439633551,0.005012291070553048,-0.05686188964854674,-0.012359488317069109
05015,-0.1254271808597808,-0.1212611686098993,-0.08976155029994462,-0.04167633839816569,-0.0452784106663114,-0.02286867185603294
05017,-0.1254271808597808,-0.1212611686098993,-0.08976155029994462,-0.04167633839816569,-0.0452784106663114,-0.02286867185603294
05019,-0.1254271808597808,-0.1212611686098993,-0.08976155029994462,-0.04167633839816569,-0.0452784106663114,-0.022868671856032936
05021,-0.23966330755948734,-0.3487649920417914,0.8592847449575404,0.05715958187764099,0.05801158954524397,0.014759118084917665
05023,-0.1254271808597808,-0.1212611686098993,-0.08976155029994462,-0.04167633839816569,-0.0452784106663114,-0.022868671856032936
05025,-0.13096452279829365,-0.12654137800278986,-0.09958131220086813,-0.048650999913229145,-0.05597953681422666,-0.025339018910760652
05027,-0.14021101287556484,-0.0755599500008809,-0.11187061331344691,-0.0806493214644194,0.13531408419180038,0.0003058430279483562
05029,-0.30535583407236166,0.8393633503535046,0.10862184617959884,0.004212053083660741,-0.05770017724269776,-0.012664385713731081
05031,0.850546029258802,0.028620489484104183,0.050306460608509324,-0.023433220988606007,-0.009661067733444655,-0.00886102253509848
05033,-0.14334677071092367,-0.14732532432932102,-0.15714543556484187,-0.08963888676066496,-0.2692494749085646,0.825172548338701
05035,-0.23966330755948734,-0.34876499204179146,0.8592847449575404,0.05715958187764096,0.058011589545243915,0.014759118084917644
05037,0.8505460292588021,0.02862048948410427,0.050306460608509344,-0.023433220988605983,-0.009661067733444634,-0.008861022535098462
05039,-0.12542718085978077,-0.12126116860989933,-0.0897615502999446,-0.04167633839816568,-0.04527841066631141,-0.02286867185603293
05041,-0.18316686915730068,0.042981169026969114,-0.15832172198156794,-0.2954459015690779,0.8752630129250208,0.09586824271992843
05043,-0.23966330755948745,-0.3487649920417914,0.8592847449575404,0.05715958187764099,0.058011589545243984,0.014759118084917741
05045,-0.23966330755948745,-0.3487649920417914,0.8592847449575404,0.057159581877640996,0.058011589545244005,0.014759118084917743
05047,-0.12542718085978077,-0.12126116860989933,-0.0897615502999446,-0.041676338398165674,-0.0452784106663114,-0.022868671856032925
05049,-0.12542718085978077,-0.12126116860989933,-0.0897615502999446,-0.04167633839816568,-0.0452784106663114,-0.022868671856032925
05051,-0.12680269231165384,-0.1182272265354392,-0.09733139710755007,-0.047891387209535494,-0.03210814887605273,-0.022354543321473946
05053,-0.23966330755948748,-0.34876499204179123,0.8592847449575403,0.05715958187764095,0.058011589545243984,0.014759118084917755
05055,-0.14396248197788403,-0.1485516671029887,-0.15202711048313222,-0.08910525707516394,-0.2686892696989691,0.8253631125201529
05057,0.8467047260414705,0.04801394459761624,0.054311090231300575,-0.02250666258348399,-0.00991731793418944,-0.008656673311487544
05059,-0.3054492207378871,0.8391769274133704,0.1093981139096055,0.004292886995781692,-0.05761568031730212,-0.012633609031282595
05061,-0.13577239369574762,-0.1441506869592104,-0.23705095167013596,0.910236832582363,0.17575649804312526,-0.0048231119500919415
05063,0.7812840625660925,0.23413472794011683,0.08847868133215957,-0.014615380917285948,-0.01192983292074377,-0.0070097395347633335
05065,-0.12542718085978075,-0.12126116860989929,-0.0897615502999446,-0.04167633839816566,-0.04527841066631138,-0.022868671856032925
05067,-0.12542718085978077,-0.12126116860989927,-0.0897615502999446,-0.041676338398165674,-0.045278410666311386,-0.022868671856032925
05069,-0.2205645553915137,0.6509849744477035,0.012031794272224478,-0.16978952076032386,0.5317704525020357,0.06027623996748386
05071,0.850546029258802,0.02862048948410423,0.050306460608509386,-0.023433220988606028,-0.009661067733444696,-0.008861022535098515
05073,-0.12542718085978077,-0.12126116860989927,-0.0897615502999446,-0.04167633839816566,-0.0452784106663114,-0.02286867185603293
